_id,Mouse_Path_Length,Mouse_Avg_Speed,Mouse_Max_Speed,Mouse_Stops,Mouse_Click_Frequency,Mouse_Scroll_Speed,Mouse_Scroll_Direction_Changes,Avg_Click_X,Avg_Click_Y,Click_Spread,Typing_Speed,Keypress_Interval_Avg,Key_Hold_Duration_Avg,Special_Key_Usage,Error_Corrections,Pause_Between_Typing,Interaction_Duration,Mouse_Keyboard_Interaction_Correlation,Response_Time,Result
6740c74d6a44fbbf29ae6cbc,106.88779163215975,21.326375026368666,0.14542556684647584,2,0.19952114924181966,0.0,0,680.0,334.0,0.0,1.3966480446927376,113.57142857142857,113.57142857142857,0,0,78.0,5.012,0.8,0.0,0
6740c7506a44fbbf29ae6cbd,0.0,0.0,0.0,4,0.09991008092716555,0.0,0,684.0,422.0,0.0,0.2997302427814966,122.33333333333333,122.33333333333333,1,0,67.0,10.009,0.8,0.0,0
6740c7556a44fbbf29ae6cbe,83.14202069465767,5.5387396372432,0.5890150893739515,9,0.06661781360335754,0.0,0,654.0,496.0,0.0,0.732795949636933,186.5,186.5,11,0,906.0,15.011,0.8,0.0,0
6740c75a6a44fbbf29ae6cbf,725.455149409149,36.26006644720093,4.712120714991612,6,0.049982506122857,0.0,0,1198.0,318.0,0.0,0.0,0.0,0.0,11,0,0.0,20.007,0.8,0.0,0
6742b5789c127b74bcf46e9e,1548.0928103780263,103.20618735853509,5.457219988235768,15,0.13333333333333333,0.0,0,908.0,483.0,126.50691680694776,1.8,137.07692307692307,137.07692307692307,1,0,383.0,15.0,0.8,0.0,0
6742b5799c127b74bcf46e9f,1548.0928103780263,154.7319150802625,5.457219988235768,15,0.19990004997501248,0.0,0,908.0,483.0,126.50691680694776,1.5992003998000999,121.875,121.875,0,0,176.0,10.005,0.8,0.0,0
6742b5799c127b74bcf46ea0,1488.3041773621048,297.30407058771567,5.457219988235768,8,0.1997602876548142,0.0,0,859.0,443.0,0.0,0.1997602876548142,0.0,127.0,0,0,0.0,5.006,0.8,0.0,0
6742b57a9c127b74bcf46ea1,569.0146862571946,56.86734821678939,0.8353309390761112,84,0.4997001798920648,0.0,0,969.2,563.6,92.64593543336295,1.798920647611433,209.88235294117646,209.88235294117646,1,0,514.0,10.006,0.8,0.0,0
6742b57a9c127b74bcf46ea2,992.2278482068094,49.59899266217493,1.3131810402394806,137,0.4498875281179705,0.0,0,921.5555555555555,567.1111111111111,88.95222904482917,1.0497375656085979,192.0,192.0,1,0,545.0,20.005,0.8,0.0,0
6742b57a9c127b74bcf46ea3,737.6035625084721,49.15390927019006,0.8894442709417556,111,0.46648007463681196,0.0,0,938.4285714285714,555.7142857142857,75.33876303098116,1.332800213248034,197.05263157894737,197.05263157894737,1,0,545.0,15.006,0.8,0.0,0
